items_specs,quantity,unit,brand,unit_price,supplier
Ballpen,15,per piece,Faber-Castell,50,Quality Source Suppliers
G-Tec-C4 Gel Ink Pen,10,per piece,Pilot,30,Quality Source Suppliers
Pencil,5,per piece,Staedtler Noris,20,Quality Source Suppliers
9000 Graphite Pencil,10,per piece,Faber-Castell,25,Quality Source Suppliers
Mono 100 Pencil,15,per piece,Tombow,30,Quality Source Suppliers
Acroball Pen,5,per piece,Pilot,40,Quality Source Suppliers
Sarasa Gel Pen,5,per piece,Zebra,35,Quality Source Suppliers
Pitt Artist Pen,3,per piece,Faber-Castell,45,Quality Source Suppliers
Lumocolor Permanent Marker,10,per piece,Staedtler,50,Quality Source Suppliers
ABT Dual Tip Marker,100,per piece,Tombow,40,Quality Source Suppliers
Polychromos Pencil,10,per piece,Faber-Castell,55,Quality Source Suppliers
G2 Gel Ink Pen,100,per piece,Pilot,35,Quality Source Suppliers
F-701 Ballpoint Pen,3,per piece,Zebra,30,Quality Source Suppliers
Ergosoft Pencil,5,per piece,Staedtler,25,Quality Source Suppliers
Fudenosuke Brush Pen,1,per piece,Tombow,40,Quality Source Suppliers
Kneaded Eraser,100,per piece,Faber-Castell,20,Quality Source Suppliers
FriXion Erasable Pen,1,per piece,Pilot,35,Quality Source Suppliers
Midliner Highlighter,100,per piece,Zebra,30,Quality Source Suppliers
Textsurfer Highlighter,100,per piece,Staedtler,25,Quality Source Suppliers
Dual Tip Highlighter,3,per piece,Tombow,40,Quality Source Suppliers
Bond Paper Long,100,per ream,Canon,450,Apex Manufacturing Solutions
Bond Paper Short,100,per ream,Canon,350,Apex Manufacturing Solutions
